ALT TEXT PROCESSING REPORT
==================================================
Generated: 2025-06-19 14:05:20

SUMMARY:
Total images processed: 1760
Successfully matched: 1611
UUID not in spreadsheet - kept existing alt: 149
UUID not in spreadsheet - no alt attribute: 0
Other no match - kept existing alt: 0
Other no match - no alt attribute: 0
Errors: 0

DETAILED RESULTS:
--------------------------------------------------
Filename                  UUID                                Status     Alt Text
------------------------------------------------------------------------------------------------------------------------
ann_001_fa_14.html        0BwJi-u8sfkVDajVqMGlZZTV5dnc        UUID NOT IN SPREADSHEET (kept existing) Hands scooping butter-like substance from glass ja...
ann_001_fa_14.html        0BwJi-u8sfkVDRU5HcGVETHl2ME0        MATCHED    chart/diagram
ann_002_fa_14.html        1tpkpHvN9d2Am_e4Cmx4WnIPrseuytqHh   MATCHED    Photo of portrait medal of King Henri II.
ann_002_fa_14.html        1MXW8vUkL7EdF7i8Sb7fFapI3_VLzowp5   MATCHED    Photo of the reverse of a portrait medal of King H...
ann_002_fa_14.html        1PwI4kOExXf5fUvwWsIvKEBxUEGLaW_YP   MATCHED    Photo of portrait medal of a woman.
ann_002_fa_14.html        1tDSEwNSYaVVVS5qUhbrAqIX-e0Fl-J9i   MATCHED    Photo of the reverse of a portrait medal of a woma...
ann_002_fa_14.html        0BwJi-u8sfkVDZDc0dDFhaTNvX0U        MATCHED    Schematic design of box mold.
ann_002_fa_14.html        0BwJi-u8sfkVDNmstdHlxS3NWNjg        MATCHED    Schematic design of box mold.
ann_002_fa_14.html        0BwJi-u8sfkVDQ3d0Y3E3eW1wTWs        MATCHED    Schematic design of box mold.
ann_002_fa_14.html        0BwJi-u8sfkVDelFvYW9MbkVBd2c        MATCHED    Sketched design of two stacked box molds.
ann_002_fa_14.html        0BwJi-u8sfkVDNmo4OTkxTWxLMDg        MATCHED    Schematic design of box mold.
ann_002_fa_14.html        0BwJi-u8sfkVDbEdqM3UzZVFYNGc        MATCHED    Sketched design of two stacked box molds.
ann_002_fa_14.html        1Kzm2YoIySbQbneKWQ9L_-l2Y95vOF_Fl   MATCHED    Photo of sand, clay and water mixture in bowl.
ann_002_fa_14.html        1hQV7wiH9qCodt7R5QxlYKjej2KfaCTca   MATCHED    Photo of hand using metal tool to even out sand in...
ann_002_fa_14.html        1p70d6_cYIJbm39Q4obFiyaR2EqMqwnXD   MATCHED    Photo of medal on top of sand in mold.
ann_002_fa_14.html        1hsuqoOKsYvCKrkjVb3RLFPZTv6nCJXNB   MATCHED    Photo of medal impression left on sand.
ann_002_fa_14.html        0BwJi-u8sfkVDV0FBREhGZVBVaE0        MATCHED    Photo of negative half of mold with a circular imp...
ann_002_fa_14.html        0BwJi-u8sfkVDV2tHamcybGJiNzA        MATCHED    Photo of positive half of mold with a circular imp...
ann_002_fa_14.html        0BwJi-u8sfkVDbmJHUlhxZ1dreEk        MATCHED    Photo of metal heated by blowtorch in a metal ladl...
ann_002_fa_14.html        0BwJi-u8sfkVDYW9MRHF6Zi1NMWs        MATCHED    Photo of hand removing mold filled with metal.
ann_002_fa_14.html        0BwJi-u8sfkVDTmVlTHVlMUpTVGc        MATCHED    Photo of silver metal with rough texture.
ann_002_fa_14.html        0BwJi-u8sfkVDM3JIeElSSjJkVlU        MATCHED    Photo of silver metal with rough texture.
ann_002_fa_14.html        0BwJi-u8sfkVDTUREbXFBLUJPczA        MATCHED    Photo of medal on sand mold coated with soot.
ann_002_fa_14.html        0BwJi-u8sfkVDRlZPWEcySTh3NlU        MATCHED    Photo of hands pressing down on a sand mold.
ann_002_fa_14.html        0BwJi-u8sfkVDMTB0d2pBMS1CZW8        MATCHED    Photo of sand-filled box mold.
ann_002_fa_14.html        0BwJi-u8sfkVDSlZkZjNORHZCYkE        MATCHED    Photo of two molds covered with soot, one with imp...
ann_002_fa_14.html        0BwJi-u8sfkVDdUNxSFg5OW80SFk        MATCHED    Photo of soot-covered mold with circular impressio...
ann_002_fa_14.html        0BwJi-u8sfkVDRWdsRWVueWNzd2s        MATCHED    Photo of soot-covered mold with medal in the cente...
ann_002_fa_14.html        0BwJi-u8sfkVDbjJMMDJxRHNTMjg        MATCHED    Photo of seperate two sand-filled halves of box mo...
ann_002_fa_14.html        0BwJi-u8sfkVDbElrV3BuOGdSQmc        MATCHED    Photo of silver metal cast with rough texture.
ann_002_fa_14.html        0BwJi-u8sfkVDUlRnQl9BQkstVVU        MATCHED    Photo of metal cast with imprint of a bird.
ann_002_fa_14.html        0BwJi-u8sfkVDRFphd0szRGdBX00        MATCHED    Photo of two jar lids with orange-colored sand, on...
ann_002_fa_14.html        0BwJi-u8sfkVDNU4wWVFiNHozUms        MATCHED    Photo of orange-colored clay with round holes in r...
ann_002_fa_14.html        0BwJi-u8sfkVDOEJPaVZMWmdtZFk        MATCHED    Photo of melted metal being poured into an orange-...
ann_002_fa_14.html        0BwJi-u8sfkVDbnpvblRFWDR5Mmc        MATCHED    Photo of cooling metal in orange-colored mold.
ann_002_fa_14.html        0BwJi-u8sfkVDd3RZNjhlcDNJb28        MATCHED    Photo of silver medal cast in scorched sand mold.
ann_002_fa_14.html        0BwJi-u8sfkVDWVlUOTBMYUdFYjQ        MATCHED    Photo of silver-colored medal cast.
ann_002_fa_14.html        0BwJi-u8sfkVDWkp1WXh5M0NScWc        MATCHED    Photo of silver-colored medal cast with design of ...
ann_002_fa_14.html        0BwJi-u8sfkVDMVRKSjd5azJOUU0        MATCHED    Photo of reversed silver-colored medal cast with d...
ann_002_fa_14.html        0BwJi-u8sfkVDYVQ2N0pVU3RLZzA        MATCHED    Photo of a medal and three medal casts with variou...
ann_002_fa_14.html        0BwJi-u8sfkVDNFl3X0N5UFR6bzA        MATCHED    Photo of a medal and three medal casts with variou...
ann_002_fa_14.html        1XCdw-qw9mpG4bYjCLi5124WMmjv0gEIC   MATCHED    Photo of convex and concave sides of lion's head m...
ann_002_fa_14.html        0BwJi-u8sfkVDNEE4ek41d3RxYTg        MATCHED    MS page
ann_003_fa_14.html        0BwJi-u8sfkVDbzAyS3hub05ydjA        MATCHED    ms page
ann_003_fa_14.html        1LSkhmWz6z66m2oZzJ9knHcU51iDIFTRg   MATCHED    Decorative vase covered in cast metal flowers, wit...
ann_003_fa_14.html        1eSJOZ781FyQ8lBNlYy_yEuspKIauCOb0   MATCHED    Four cast metal pieces of leaves, tree branches, a...
ann_003_fa_14.html        0BwJi-u8sfkVDVVZ1dml6SUl6dzA        MATCHED    ms page
ann_003_fa_14.html        0BwJi-u8sfkVDZTBfTWNOMXJfTU0        MATCHED    text image
ann_003_fa_14.html        1U3W2esRHFlJAt71ZRQZPBdgMg3ctGSQB   MATCHED    Glazed, ceramic pitcher covered in flowers, leaves...
ann_003_fa_14.html        1a9fxXM3HtdhZXsBqpbGqY2TkV45XzPJY   MATCHED    Stone statue of robed figure holding bunch of cast...
ann_003_fa_14.html        1V3yUToT-9D9WsTWqQ1DL6wrag7PbAqnN   MATCHED    Closeup of head of stone statue of robed figure ho...
ann_004_fa_14.html        0BwJi-u8sfkVDR2dYUVBSTW16TVE        MATCHED    Photo of red wax scuplture depicting woman in natu...
ann_005_fa_14.html        0BwJi-u8sfkVDQTd5VTJQOUNsajg        MATCHED    Image of bottle of black waterproof ink
ann_005_fa_14.html        0BwJi-u8sfkVDOE42NjZVWWlScWs        MATCHED    Image of jar of black iron gall ink
ann_005_fa_14.html        0BwJi-u8sfkVDOERncmFvQ25UcTg        MATCHED    Image of bottle of gum arabic, which is amber in c...
ann_005_fa_14.html        0BwJi-u8sfkVDMUdpdmlodC1NN1k        MATCHED    Image of ampersand written in streaked black ink
ann_005_fa_14.html        0BwJi-u8sfkVDa2UycWpEdmhILTQ        MATCHED    Image of tub of white powered tragacanth gum
ann_005_fa_14.html        0BwJi-u8sfkVDNm9mWThnMnVwd3c        MATCHED    Image of clumps of white tragacanth gum mixed with...
ann_005_fa_14.html        0BwJi-u8sfkVDakNFRjFYd2w4a1U        MATCHED    Thick black ink mixture in a jar
ann_005_fa_14.html        0BwJi-u8sfkVDMWs2cDhxVGYyZ00        MATCHED    Image of the word "craft" written in thick and clu...
ann_005_fa_14.html        0BwJi-u8sfkVDX0JhSEhXOWFyeUE        MATCHED    Close up and side view of previous image, showing ...
ann_005_fa_14.html        0BwJi-u8sfkVDT05jcGlwZTVvQXM        MATCHED    Image of the word "art" written in thick and clump...
ann_005_fa_14.html        0BwJi-u8sfkVDalJlWmszZFl6X0k        MATCHED    Image of the word "art" written in thick and clump...
ann_005_fa_14.html        0BwJi-u8sfkVDUFJzYlgtRjNfVGc        MATCHED    Image of the word "art" written on  paper with cur...
ann_005_fa_14.html        0BwJi-u8sfkVDWFdmcV9fd3IyMlE        MATCHED    Image of paper with "art" written on it being laid...
